grid,agent,longest_streak_mean
4,Deep2,7.876111111111111
4,Heuristic1,3.857222222222222
4,Random,3.6455555555555557
5,Deep2,10.159444444444444
5,Heuristic1,4.962777777777778
5,Random,4.713888888888889
6,Deep2,12.58
6,Heuristic1,6.275
6,Random,5.823333333333333
