grid,agent,unsafe_mean_summary,unsafe_mean_games
4,Deep2,10.8155,10.815555555555555
4,Heuristic1,7.327166666666667,7.327222222222222
4,Random,10.839999999999998,10.84
5,Deep2,17.28666666666667,17.286666666666665
5,Heuristic1,11.503333333333332,11.503333333333334
5,Random,17.024,17.023888888888887
6,Deep2,25.343833333333336,25.343888888888888
6,Heuristic1,16.705499999999997,16.705555555555556
6,Random,24.403000000000002,24.40277777777778
